policy,memory_budget_mib,epsilon,delta,count,ok_count,session_count,budget_hit_count,budget_hit_rate,restore_count,restore_time_ms_total,recompute_count,recompute_time_ms_total,queue_event_count,queue_delay_ms_mean,evict_event_count,session_reuse_evidence,backend_event_evidence
static_safe,35.0,0.05,0.1,65.0,63.0,13.0,30.0,0.46153846153846156,0.0,0,42.0,96853.28932165727,0.0,0.0,32.0,True,True
uncalibrated_dynamic,35.0,0.05,0.1,65.0,21.0,13.0,0.0,0.0,0.0,0,2.0,41673.60301290639,0.0,0.0,9.0,True,True
utility_dynamic,35.0,0.05,0.1,65.0,58.0,13.0,0.0,0.0,0.0,0,45.0,480886.38860024326,0.0,0.0,19.0,True,True
full_lru,35.0,0.1,0.05,65.0,65.0,13.0,47.0,0.7230769230769231,0.0,0,48.0,6494.637874420732,0.0,0.0,47.0,True,True
static_best,35.0,0.1,0.05,65.0,63.0,13.0,30.0,0.46153846153846156,0.0,0,42.0,94848.61469264328,0.0,0.0,32.0,True,True
static_safe,35.0,0.1,0.05,65.0,63.0,13.0,30.0,0.46153846153846156,0.0,0,42.0,90820.32450232655,1.0,0.0008491992950439454,32.0,True,True
uncalibrated_dynamic,35.0,0.1,0.05,65.0,21.0,13.0,0.0,0.0,0.0,0,2.0,40095.27512203902,0.0,0.0,9.0,True,True
utility_dynamic,35.0,0.1,0.05,65.0,58.0,13.0,0.0,0.0,0.0,0,45.0,469955.5189069938,1.0,0.00018675573940934805,19.0,True,True
full_lru,35.0,0.1,0.1,65.0,65.0,13.0,47.0,0.7230769230769231,0.0,0,48.0,6194.905007723719,0.0,0.0,47.0,True,True
static_best,35.0,0.1,0.1,65.0,63.0,13.0,30.0,0.46153846153846156,0.0,0,42.0,87905.18040844612,0.0,0.0,32.0,True,True
static_safe,35.0,0.1,0.1,65.0,63.0,13.0,30.0,0.46153846153846156,0.0,0,42.0,95503.35366793722,1.0,0.000158232908982497,32.0,True,True
uncalibrated_dynamic,35.0,0.1,0.1,65.0,21.0,13.0,0.0,0.0,0.0,0,2.0,41476.71123497188,0.0,0.0,9.0,True,True
utility_dynamic,35.0,0.1,0.1,65.0,58.0,13.0,0.0,0.0,0.0,0,45.0,477687.4816963747,0.0,0.0,19.0,True,True
full_lru,50.0,0.05,0.05,65.0,65.0,13.0,38.0,0.5846153846153846,0.0,0,39.0,5369.70553197898,0.0,0.0,38.0,True,True
static_best,50.0,0.05,0.05,65.0,63.0,13.0,17.0,0.26153846153846155,0.0,0,31.0,94015.6184563972,0.0,0.0,19.0,True,True
static_safe,50.0,0.05,0.05,65.0,63.0,13.0,17.0,0.26153846153846155,0.0,0,31.0,92649.70367191546,1.0,0.0005492283747746394,19.0,True,True
uncalibrated_dynamic,50.0,0.05,0.05,65.0,17.0,13.0,0.0,0.0,0.0,0,1.0,41110.06603966467,0.0,0.0,3.0,True,True
utility_dynamic,50.0,0.05,0.05,65.0,61.0,13.0,0.0,0.0,0.0,0,39.0,258018.66339645535,0.0,0.0,8.0,True,True
full_lru,50.0,0.05,0.1,65.0,65.0,13.0,38.0,0.5846153846153846,0.0,0,39.0,5355.2968457806855,1.0,0.0004721824939434345,38.0,True,True
static_best,50.0,0.05,0.1,65.0,63.0,13.0,16.0,0.24615384615384617,0.0,0,31.0,91780.63558751158,0.0,0.0,18.0,True,True
