action_profile,audit_rate,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,session_id,task,ttft_ms,turn_index
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.09375,,,555.8190792798996,short,True,True,,False,,6597.5537109375,False,full_lru,,0.0,full precision exact profile,,,,,session_056_turn_000,,,8135.0,,,,session_056,chat,36.76469624042511,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,38.3359375,,,857.1523986756802,medium,True,True,,False,,7031.9697265625,False,full_lru,,0.0,full precision exact profile,,,,,session_056_turn_001,,,8196.48828125,,,,session_056,chat,306.8288750946522,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.8046875,,,575.0334300100803,short,True,True,,False,,6604.7041015625,False,full_lru,,0.0,full precision exact profile,,,,,session_057_turn_000,,,8135.0,,,,session_057,chat,50.22939667105675,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,17.171875,,,693.6508491635323,medium,True,True,,False,,6784.9345703125,False,full_lru,,0.0,full precision exact profile,,,,,session_057_turn_001,,,8196.48828125,,,,session_057,chat,160.16904264688492,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,28.4375,,,760.0753158330917,long,True,True,,False,,6916.9677734375,False,full_lru,,0.0,full precision exact profile,,,,,session_057_turn_002,,,8135.0,,,,session_057,chat,223.34586828947067,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,39.59375,,,861.292377114296,long,True,True,,False,,7046.7060546875,False,full_lru,,0.0,full precision exact profile,,,,,session_057_turn_003,,,8135.0,,,,session_057,chat,315.54829701781273,3
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.6953125,,,580.04579693079,short,True,True,,False,,6603.4541015625,False,full_lru,,0.0,full precision exact profile,,,,,session_058_turn_000,,,8135.0,,,,session_058,chat,39.19973596930504,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,46.484375,,,889.9666294455528,long,True,True,,False,,7127.7138671875,False,full_lru,,0.0,full precision exact profile,,,,,session_058_turn_001,,,8155.28125,,,,session_058,chat,372.6744279265404,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,48.234375,,,862.7361692488194,long,True,True,,False,,7147.9951171875,False,full_lru,,0.0,full precision exact profile,,,,,session_058_turn_002,,,8155.28125,,,,session_058,chat,369.35971677303314,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,25.7578125,,,722.5307337939739,long,True,True,,False,,6886.3720703125,False,full_lru,,0.0,full precision exact profile,,,,,session_059_turn_000,,,8155.28125,,,,session_059,chat,216.36071801185608,0
